Sector,Region,Year,Emissions_Mt
Forest Land,Eurasia,1995,-1868.95220344729
Forest Land,Europe,1995,-749.4952559305
Forest Land,Latin America and Caribbean,1995,-1425.13444041355
Forest Land,Middle East,1995,-9.41648651761954
Forest Land,North America,1995,-1752.96538649323
Forest Land,South-East Asia and developing Pacific,1995,47.5460243098726
Forest Land,Southern Asia,1995,1020.74799716904
Organic Soil,Asia-Pacific Developed,1995,3.2330685976988898
Organic Soil,Eurasia,1995,155.217687710125
Organic Soil,Europe,1995,129.328677034793
Organic Soil,North America,1995,46.008219351075496
Organic Soil,South-East Asia and developing Pacific,1995,445.662199999999
Other,Africa,1995,37.25707
Other,Asia-Pacific Developed,1995,-36.522222840000005
Other,Eastern Asia,1995,-117.7808
Other,Eurasia,1995,-22.452519878
Other,Europe,1995,-102.83732517739399
Other,Latin America and Caribbean,1995,3.8198576000000197
Other,Middle East,1995,-1.06854
Other,North America,1995,-308.7310307
Other,South-East Asia and developing Pacific,1995,-43.14924
Other,Southern Asia,1995,-139.475
Net,EU27,1995,-456.48072651394745
Forest Land,EU27,1995,-510.4657196247782
Organic Soil,EU27,1995,98.4451616004354
Deforestation,EU27,1995,21.6973562386269
Other,EU27,1995,-89.9378263282315
Fires,EU27,1995,23.7803016
Net,WORLD,1995,-3304.366926371529
Forest Land,WORLD,1995,-10030.7
Organic Soil,WORLD,1995,779.449852693692
Deforestation,WORLD,1995,5026.25815300951
Other,WORLD,1995,-730.94
Fires,WORLD,1995,1651.5650679252701
Net,Africa,1996,-1437.7736076771498
Net,Asia-Pacific Developed,1996,-266.3896698508935
Net,Eastern Asia,1996,-1468.8205117485059
Net,Eurasia,1996,-1272.2128840104144
Net,Europe,1996,-675.2437612008513
Net,Latin America and Caribbean,1996,1148.136607087271
Net,Middle East,1996,96.31852252451957
Net,North America,1996,-1813.9338047711494
Net,South-East Asia and developing Pacific,1996,954.3827349314731
Net,Southern Asia,1996,890.4280904465624
Deforestation,Africa,1996,1641.98340258
Deforestation,Asia-Pacific Developed,1996,76.85317341949161
Deforestation,Eastern Asia,1996,2.303
Deforestation,Eurasia,1996,12.215284177926499
Deforestation,Europe,1996,31.5194814856143
Deforestation,Latin America and Caribbean,1996,2464.825507
Deforestation,Middle East,1996,99.6917299999999
Deforestation,North America,1996,129.021753665818
Deforestation,South-East Asia and developing Pacific,1996,533.7878548
Deforestation,Southern Asia,1996,28.874991199999997
Fires,Africa,1996,138.62793970928
Fires,Asia-Pacific Developed,1996,241.857215320657
Fires,Eastern Asia,1996,74.988898078894
Fires,Eurasia,1996,535.401156949547
Fires,Europe,1996,37.2649816105525
Fires,Latin America and Caribbean,1996,82.6207584068309
Fires,Middle East,1996,7.07214940248441
Fires,North America,1996,126.93761751503699
Fires,South-East Asia and developing Pacific,1996,3.1229292943372697
Fires,Southern Asia,1996,6.216880307841301
Forest Land,Africa,1996,-3255.64201996643
Forest Land,Asia-Pacific Developed,1996,-560.9442703367121
Forest Land,Eastern Asia,1996,-1428.3316098274
Forest Land,Eurasia,1996,-1937.44883355924
Forest Land,Europe,1996,-770.5650463674281
Forest Land,Latin America and Caribbean,1996,-1403.1295159195602
Forest Land,Middle East,1996,-9.37681687796475
Forest Land,North America,1996,-1769.2221509362598
Forest Land,South-East Asia and developing Pacific,1996,14.9589908371369
Forest Land,Southern Asia,1996,994.811218938721
Organic Soil,Asia-Pacific Developed,1996,3.33896166767
Organic Soil,Eurasia,1996,153.583160636352
Organic Soil,Europe,1996,128.84521686027
Organic Soil,North America,1996,45.9375269842556
Organic Soil,South-East Asia and developing Pacific,1996,445.662199999999
Other,Africa,1996,37.25707
Other,Asia-Pacific Developed,1996,-27.494749922
Other,Eastern Asia,1996,-117.7808
Other,Eurasia,1996,-35.963652215
Other,Europe,1996,-102.30839478986
Other,Latin America and Caribbean,1996,3.8198576000000197
Other,Middle East,1996,-1.06854
Other,North America,1996,-346.60855200000003
Other,South-East Asia and developing Pacific,1996,-43.14924
Other,Southern Asia,1996,-139.475
Net,EU27,1996,-471.5942872451926
Forest Land,EU27,1996,-527.9411375629229
Organic Soil,EU27,1996,98.2669829593716
Deforestation,EU27,1996,22.4008404503251
Other,EU27,1996,-91.8452305489666
Fires,EU27,1996,27.524257457
Net,WORLD,1996,-3845.118228927141
Forest Land,WORLD,1996,-10124.9
Organic Soil,WORLD,1996,777.367066148548
Deforestation,WORLD,1996,5021.07617832885
Other,WORLD,1996,-772.772
Fires,WORLD,1996,1254.11052659546
Net,Africa,1997,-1478.0338556656116
Net,Asia-Pacific Developed,1997,-359.02817869479134
Net,Eastern Asia,1997,-1523.3700681012324
Net,Eurasia,1997,-1319.1738743160377
Net,Europe,1997,-665.8367114982976
Net,Latin America and Caribbean,1997,1163.206344986235
Net,Middle East,1997,91.3634530659114
Net,North America,1997,-1831.5021849012667
Net,South-East Asia and developing Pacific,1997,942.3936163016965
Net,Southern Asia,1997,881.9716278083055
Deforestation,Africa,1997,1641.98340258
Deforestation,Asia-Pacific Developed,1997,76.4414008822261
Deforestation,Eastern Asia,1997,2.303
Deforestation,Eurasia,1997,10.9079900392773
Deforestation,Europe,1997,34.026415988061295
Deforestation,Latin America and Caribbean,1997,2464.825507
Deforestation,Middle East,1997,99.6917299999999
Deforestation,North America,1997,129.105101871461
Deforestation,South-East Asia and developing Pacific,1997,533.7878548
Deforestation,Southern Asia,1997,28.874991199999997
Fires,Africa,1997,47.5709069030189
Fires,Asia-Pacific Developed,1997,143.908495798128
Fires,Eastern Asia,1997,25.620026603637598
Fires,Eurasia,1997,348.273242769566
Fires,Europe,1997,7.93113971510302
Fires,Latin America and Caribbean,1997,53.6875471250953
Fires,Middle East,1997,1.66995288961982
Fires,North America,1997,84.4645177169746
Fires,South-East Asia and developing Pacific,1997,1.73976886054229
Fires,Southern Asia,1997,3.07904114833641
Forest Land,Africa,1997,-3204.8452351486303
Forest Land,Asia-Pacific Developed,1997,-555.367614857723
Forest Land,Eastern Asia,1997,-1433.51229470487
Forest Land,Eurasia,1997,-1771.37499228349
Forest Land,Europe,1997,-726.608514997836
Forest Land,Latin America and Caribbean,1997,-1359.12656673886
Forest Land,Middle East,1997,-8.92968982370831
Forest Land,North America,1997,-1761.21513227948
Forest Land,South-East Asia and developing Pacific,1997,4.35303264115512
Forest Land,Southern Asia,1997,989.492595459969
Organic Soil,Asia-Pacific Developed,1997,3.2102090625775097
Organic Soil,Eurasia,1997,152.008902371609
Organic Soil,Europe,1997,127.95829586681201
Organic Soil,North America,1997,45.8987744897777
Organic Soil,South-East Asia and developing Pacific,1997,445.662199999999
Other,Africa,1997,37.25707
Other,Asia-Pacific Developed,1997,-27.220669580000003
Other,Eastern Asia,1997,-117.7808
Other,Eurasia,1997,-58.989017213
Other,Europe,1997,-109.144048070438
Other,Latin America and Caribbean,1997,3.8198576000000197
Other,Middle East,1997,-1.06854
Other,North America,1997,-329.7554467
Other,South-East Asia and developing Pacific,1997,-43.14924
Other,Southern Asia,1997,-139.475
Net,EU27,1997,-467.7623511404697
Forest Land,EU27,1997,-490.04882608690133
Organic Soil,EU27,1997,97.592471657526
Deforestation,EU27,1997,23.7878386830413
Other,EU27,1997,-103.72104710413572
Fires,EU27,1997,4.62721171
Net,WORLD,1997,-4097.97558431818
Forest Land,WORLD,1997,-9827.1
Organic Soil,WORLD,1997,774.738381790777
Deforestation,WORLD,1997,5021.94739436102
Other,WORLD,1997,-785.506
Fires,WORLD,1997,717.944639530023
Net,Africa,1998,-1359.760751281765
Net,Asia-Pacific Developed,1998,-140.31437307214946
Net,Eastern Asia,1998,-1420.1842436000682
Net,Eurasia,1998,-1568.7082503867125
Net,Europe,1998,-629.7775522898562
Net,Latin America and Caribbean,1998,1214.8131173380386
Net,Middle East,1998,96.33321870914563
Net,North America,1998,-1621.3394868947044
Net,South-East Asia and developing Pacific,1998,931.2857525659356
Net,Southern Asia,1998,895.4880422663174
Deforestation,Africa,1998,1641.98340258
Deforestation,Asia-Pacific Developed,1998,74.7647224102066
Deforestation,Eastern Asia,1998,2.303
Deforestation,Eurasia,1998,10.785526362198501
Deforestation,Europe,1998,58.9634769686265
Deforestation,Latin America and Caribbean,1998,2464.825507
Deforestation,Middle East,1998,99.6917299999999
Deforestation,North America,1998,129.255336111904
Deforestation,South-East Asia and developing Pacific,1998,533.7878548
Deforestation,Southern Asia,1998,28.874991199999997
Fires,Africa,1998,125.65529369346501
Fires,Asia-Pacific Developed,1998,381.224406432436
Fires,Eastern Asia,1998,128.481678421082
Fires,Eurasia,1998,194.71248310651202
Fires,Europe,1998,50.7655321188683
Fires,Latin America and Caribbean,1998,58.4430089969485
Fires,Middle East,1998,6.8927261359694
Fires,North America,1998,327.830107939344
Fires,South-East Asia and developing Pacific,1998,3.20213024642679
Fires,Southern Asia,1998,6.0564436964273405
Forest Land,Africa,1998,-3164.65651755523
Forest Land,Asia-Pacific Developed,1998,-558.9564909583349
Forest Land,Eastern Asia,1998,-1433.18812202115
Forest Land,Eurasia,1998,-1838.27266058207
Forest Land,Europe,1998,-723.051688357626
Forest Land,Latin America and Caribbean,1998,-1312.27525625891
Forest Land,Middle East,1998,-9.18269742682367
Forest Land,North America,1998,-1772.56856218109
Forest Land,South-East Asia and developing Pacific,1998,-8.217192480490159
Forest Land,Southern Asia,1998,1000.03160736989
Organic Soil,Asia-Pacific Developed,1998,3.28026974354285
Organic Soil,Eurasia,1998,150.717514993647
Organic Soil,Europe,1998,126.89398989213699
Organic Soil,North America,1998,45.9894515351377
Organic Soil,South-East Asia and developing Pacific,1998,445.662199999999
Other,Africa,1998,37.25707
Other,Asia-Pacific Developed,1998,-40.6272807
Other,Eastern Asia,1998,-117.7808
Other,Eurasia,1998,-86.651114267
Other,Europe,1998,-143.348862911862
Other,Latin America and Caribbean,1998,3.8198576000000197
Other,Middle East,1998,-1.06854
Other,North America,1998,-351.8458203
Other,South-East Asia and developing Pacific,1998,-43.14924
Other,Southern Asia,1998,-139.475
Net,EU27,1998,-442.9154091976198
Forest Land,EU27,1998,-491.41323996911774
Organic Soil,EU27,1998,96.7831170015523
Deforestation,EU27,1998,23.300478469732
Other,EU27,1998,-108.89609729978633
Fires,EU27,1998,37.310332599999995
Net,WORLD,1998,-3602.1272156151354
Forest Land,WORLD,1998,-9820.3
Organic Soil,WORLD,1998,772.543426164464
Deforestation,WORLD,1998,5045.23554743293
Other,WORLD,1998,-882.87
Fires,WORLD,1998,1283.26381078747
Net,Africa,1999,-1276.5278212448834
Net,Asia-Pacific Developed,1999,-41.25897188863283
Net,Eastern Asia,1999,-1441.1375930134382
Net,Eurasia,1999,-1259.870101493655
Net,Europe,1999,-721.2404552372143
Net,Latin America and Caribbean,1999,1327.7162911163268
Net,Middle East,1999,93.63224347312408
Net,North America,1999,-1790.5651639590465
Net,South-East Asia and developing Pacific,1999,949.3922454749413
Net,Southern Asia,1999,906.7547920581443
Deforestation,Africa,1999,1641.98340258
Deforestation,Asia-Pacific Developed,1999,85.05058248426819
Deforestation,Eastern Asia,1999,2.303
Deforestation,Eurasia,1999,11.2654008106239
Deforestation,Europe,1999,38.4599992287763
Deforestation,Latin America and Caribbean,1999,2464.825507
Deforestation,Middle East,1999,99.6917299999999
Deforestation,North America,1999,129.370745771814
