Sector,Region,Year,Emissions_Mt
Fires,"Australia, Japan, and New Zealand",2001,813.66639484064
Forest Land,"Australia, Japan, and New Zealand",2001,-484.72582973557
Organic Soil,"Australia, Japan, and New Zealand",2001,11.016929662827
Other Land,"Australia, Japan, and New Zealand",2001,-4.0646775467493
Deforestation,Eastern Asia,2001,1.3808432324444
Fires,Eastern Asia,2001,60.740595311029
Forest Land,Eastern Asia,2001,-662.96827720208
Organic Soil,Eastern Asia,2001,26.276662504365
Other Land,Eastern Asia,2001,-179.37172427869
Deforestation,Eastern Europe and West-Central Asia,2001,0.11221129442414
Fires,Eastern Europe and West-Central Asia,2001,381.02258566394
Forest Land,Eastern Europe and West-Central Asia,2001,-1979.5910666843
